"Time","Temp Avg","Temp Low","Temp High","Hum Avg","Hum Low","Hum High","Baro Avg","Baro Low","Baro High","Windspeed","Gust","Wind Direction","Interval Precip","Leaf Wetness (Minutes)","Solar Radiation Avg","Inside Temp Avg","Inside Temp Low","Inside Temp High","Heat Index","Wind Chill","Dew Point","UV Index","Station Voltage","Station Voltage 2","t1ia","t1il","t1ih","t2ia","t2il","t2ih","wetbulb","s2ia","smia","lvl1","lvl2","lvl3"
"2018-01-31 00:00:00","26.80","26.80","26.80","82","83","83","28.10","28.10","28.10","4.7","6.7","225","0.00",,,"51.90","52.00","52.00","26.80","26.8","22.1",,"6.6",,,,,,,,"25.1",,,,,
"2018-01-31 00:01:00","26.80","26.80","26.80","83","83","83","28.10","28.10","28.10","6.1","9.8","244","0.00",,,"52.00","52.00","52.00","26.80","26.8","22.3",,"6.6",,,,,,,,"25.2",,,,,
"2018-01-31 00:02:00","26.90","26.80","27.00","83","83","83","28.10","28.10","28.10","5.3","7.7","244","0.00",,,"52.00","52.00","52.00","26.90","26.9","22.4",,"6.6",,,,,,,,"25.4",,,,,
"2018-01-31 00:03:00","27.00","27.00","27.00","83","83","83","28.10","28.10","28.10","5.2","7.7","239","0.00",,,"52.00","52.00","52.00","27.00","27.0","22.5",,"6.6",,,,,,,,"25.4",,,,,
"2018-01-31 00:04:00","27.00","27.00","27.10","83","83","83","28.10","28.10","28.10","4.3","5.5","234","0.00",,,"52.00","52.00","52.00","27.00","27.0","22.5",,"6.6",,,,,,,,"25.4",,,,,
"2018-01-31 00:05:00","27.10","27.10","27.10","83","83","83","28.10","28.10","28.10","6.7","9.8","218","0.00",,,"52.00","52.00","52.00","27.10","27.1","22.6",,"6.6",,,,,,,,"25.6",,,,,
"2018-01-31 00:06:00","27.10","27.10","27.10","82","83","83","28.10","28.10","28.10","7.6","11.6","252","0.00",,,"51.90","52.00","52.00","27.10","27.1","22.3",,"6.6",,,,,,,,"25.5",,,,,
"2018-01-31 00:07:00","27.10","27.10","27.10","82","83","83","28.10","28.10","28.10","5.3","12.4","263","0.00",,,"51.90","52.00","52.00","27.10","27.1","22.3",,"6.6",,,,,,,,"25.5",,,,,
"2018-01-31 00:08:00","27.20","27.10","27.30","83","83","83","28.09","28.10","28.09","10.0","19.6","270","0.00",,,"52.00","52.00","52.00","27.20","27.2","22.7",,"6.6",,,,,,,,"25.6",,,,,
"2018-01-31 00:09:00","27.30","27.30","27.30","82","83","83","28.09","28.09","28.09","10.4","18.6","258","0.00",,,"51.90","52.00","52.00","27.30","27.3","22.5",,"6.6",,,,,,,,"25.7",,,,,
"2018-01-31 00:10:00","27.30","27.30","27.30","82","83","83","28.10","28.10","28.09","7.4","11.1","289","0.00",,,"51.90","52.00","52.00","27.30","27.3","22.5",,"6.6",,,,,,,,"25.7",,,,,
"2018-01-31 00:11:00","27.40","27.30","27.50","83","83","83","28.10","28.10","28.10","7.9","12.0","289","0.00",,,"52.00","52.00","52.00","27.40","27.4","22.9",,"6.6",,,,,,,,"25.8",,,,,
"2018-01-31 00:12:00","27.50","27.50","27.60","83","83","83","28.10","28.10","28.10","9.5","19.6","276","0.00",,,"51.00","51.00","52.00","27.50","27.5","23.0",,"6.6",,,,,,,,"25.9",,,,,
"2018-01-31 00:13:00","27.60","27.60","27.60","83","83","83","28.09","28.10","28.09","9.2","16.3","266","0.00",,,"51.00","51.00","51.00","27.60","27.6","23.1",,"6.6",,,,,,,,"26.1",,,,,
"2018-01-31 00:14:00","27.70","27.60","27.80","82","83","83","28.10","28.10","28.09","11.0","14.5","295","0.00",,,"50.90","51.00","51.00","27.70","27.7","22.9",,"6.6",,,,,,,,"26.0",,,,,
"2018-01-31 00:15:00","27.80","27.80","27.80","83","83","83","28.10","28.10","28.10","6.5","10.6","278","0.00",,,"51.00","51.00","51.00","27.80","27.8","23.3",,"6.6",,,,,,,,"26.3",,,,,
"2018-01-31 00:16:00","27.90","27.80","28.00","82","83","83","28.10","28.10","28.10","5.3","8.5","277","0.00",,,"50.90","51.00","51.00","27.90","27.9","23.1",,"6.6",,,,,,,,"26.2",,,,,
"2018-01-31 00:17:00","28.00","28.00","28.00","82","83","83","28.11","28.11","28.10","10.7","17.0","292","0.00",,,"50.90","51.00","51.00","28.00","28.0","23.2",,"6.6",,,,,,,,"26.3",,,,,
"2018-01-31 00:18:00","28.00","28.00","28.10","83","83","84","28.11","28.11","28.11","9.8","17.3","264","0.00",,,"50.90","51.00","51.00","28.00","28.0","23.5",,"6.6",,,,,,,,"26.4",,,,,
"2018-01-31 00:19:00","28.10","28.10","28.10","84","84","84","28.11","28.11","28.11","10.3","14.9","288","0.00",,,"51.00","51.00","51.00","28.10","28.1","23.9",,"6.6",,,,,,,,"26.5",,,,,
"2018-01-31 00:20:00","28.20","28.10","28.10","84","84","84","28.11","28.11","28.11","11.5","14.9","291","0.00",,,"51.00","51.00","51.00","28.20","28.2","24.0",,"6.6",,,,,,,,"26.7",,,,,
"2018-01-31 00:21:00","28.20","28.10","28.30","83","84","84","28.11","28.11","28.11","13.2","21.0","292","0.00",,,"50.90","51.00","51.00","28.20","28.2","23.7",,"6.6",,,,,,,,"26.6",,,,,
"2018-01-31 00:22:00","28.20","28.30","28.30","83","84","84","28.12","28.11","28.11","13.0","16.8","291","0.00",,,"50.90","51.00","51.00","28.20","28.2","23.7",,"6.6",,,,,,,,"26.6",,,,,
"2018-01-31 00:23:00","28.30","28.30","28.30","84","84","84","28.12","28.12","28.11","11.0","15.4","279","0.00",,,"51.00","51.00","51.00","28.30","28.3","24.1",,"6.6",,,,,,,,"26.7",,,,,
"2018-01-31 00:24:00","28.20","28.10","28.30","83","84","84","28.12","28.12","28.12","13.4","16.6","296","0.00",,,"51.90","51.00","52.00","28.20","28.2","23.7",,"6.6",,,,,,,,"26.6",,,,,
"2018-01-31 00:25:00","28.10","28.10","28.10","83","83","84","28.12","28.12","28.12","10.5","17.6","283","0.00",,,"52.00","52.00","52.00","28.10","28.1","23.6",,"6.6",,,,,,,,"26.4",,,,,
"2018-01-31 00:26:00","28.10","28.10","28.10","82","83","83","28.12","28.12","28.12","9.1","17.3","286","0.00",,,"51.90","52.00","52.00","28.10","28.1","23.3",,"6.6",,,,,,,,"26.3",,,,,
"2018-01-31 00:27:00","28.00","28.00","28.10","82","83","83","28.12","28.12","28.12","14.2","19.6","284","0.00",,,"51.90","52.00","52.00","28.00","28.0","23.2",,"6.6",,,,,,,,"26.3",,,,,
"2018-01-31 00:28:00","27.90","27.80","28.00","83","83","83","28.12","28.12","28.12","9.1","12.0","296","0.00",,,"52.00","52.00","52.00","27.90","27.9","23.4",,"6.6",,,,,,,,"26.3",,,,,
"2018-01-31 00:29:00","27.80","27.80","27.80","83","83","83","28.12","28.12","28.12","10.1","13.5","290","0.00",,,"52.00","52.00","52.00","27.80","27.8","23.3",,"6.6",,,,,,,,"26.3",,,,,
"2018-01-31 00:30:00","27.70","27.60","27.80","82","82","83","28.12","28.12","28.12","11.2","18.0","287","0.00",,,"52.00","52.00","52.00","27.70","27.7","22.9",,"6.6",,,,,,,,"26.0",,,,,
"2018-01-31 00:31:00","27.60","27.60","27.60","81","82","82","28.12","28.12","28.11","13.5","22.1","297","0.00",,,"51.90","52.00","52.00","27.60","27.6","22.5",,"6.6",,,,,,,,"25.9",,,,,
"2018-01-31 00:32:00","27.50","27.50","27.60","82","82","82","28.11","28.11","28.11","15.8","22.3","292","0.00",,,"52.00","52.00","52.00","27.50","27.5","22.7",,"6.6",,,,,,,,"25.8",,,,,
"2018-01-31 00:33:00","27.30","27.30","27.50","81","81","82","28.11","28.11","28.11","16.6","24.8","285","0.00",,,"52.00","52.00","52.00","27.30","27.3","22.3",,"6.6",,,,,,,,"25.6",,,,,
"2018-01-31 00:34:00","27.20","27.10","27.30","81","81","81","28.11","28.11","28.11","17.6","23.8","287","0.00",,,"52.00","52.00","52.00","27.20","27.2","22.2",,"6.6",,,,,,,,"25.4",,,,,
"2018-01-31 00:35:00","27.10","27.10","27.10","80","80","81","28.11","28.11","28.11","16.2","21.0","291","0.00",,,"51.90","52.00","52.00","27.10","27.1","21.8",,"6.6",,,,,,,,"25.3",,,,,
"2018-01-31 00:36:00","27.00","27.00","27.10","79","80","80","28.11","28.11","28.11","14.4","22.6","278","0.00",,,"51.90","52.00","52.00","27.00","27.0","21.4",,"6.6",,,,,,,,"25.0",,,,,
"2018-01-31 00:37:00","27.00","27.00","27.00","79","80","80","28.11","28.11","28.11","14.6","19.8","281","0.00",,,"51.90","52.00","52.00","27.00","27.0","21.4",,"6.6",,,,,,,,"25.0",,,,,
"2018-01-31 00:38:00","26.90","26.80","27.00","79","79","80","28.11","28.11","28.11","13.3","17.0","291","0.00",,,"52.00","52.00","52.00","26.90","26.9","21.3",,"6.6",,,,,,,,"25.0",,,,,
"2018-01-31 00:39:00","26.80","26.80","26.80","79","79","79","28.11","28.11","28.11","12.5","17.6","291","0.00",,,"52.90","52.00","53.00","26.80","26.8","21.2",,"6.6",,,,,,,,"24.9",,,,,
"2018-01-31 00:40:00","26.70","26.60","26.80","79","79","79","28.12","28.11","28.11","13.4","18.6","284","0.00",,,"53.00","53.00","53.00","26.70","26.7","21.1",,"6.6",,,,,,,,"24.9",,,,,
"2018-01-31 00:41:00","26.60","26.60","26.60","78","78","79","28.11","28.11","28.11","14.4","21.0","292","0.00",,,"53.00","53.00","53.00","26.60","26.6","20.7",,"6.6",,,,,,,,"24.6",,,,,
"2018-01-31 00:42:00","26.50","26.50","26.60","78","78","78","28.11","28.11","28.11","19.6","26.6","295","0.00",,,"53.00","53.00","53.00","26.50","26.5","20.6",,"6.6",,,,,,,,"24.6",,,,,
"2018-01-31 00:43:00","26.40","26.30","26.50","78","78","78","28.11","28.11","28.11","20.6","25.6","292","0.00",,,"53.00","53.00","53.00","26.40","26.4","20.5",,"6.6",,,,,,,,"24.6",,,,,
"2018-01-31 00:44:00","26.30","26.30","26.30","78","78","78","28.11","28.11","28.11","17.3","21.5","288","0.00",,,"53.00","53.00","53.00","26.30","26.3","20.4",,"6.6",,,,,,,,"24.3",,,,,
"2018-01-31 00:45:00","26.30","26.30","26.30","77","77","78","28.12","28.12","28.11","10.6","17.0","278","0.00",,,"53.00","53.00","53.00","26.30","26.3","20.1",,"6.6",,,,,,,,"24.2",,,,,
"2018-01-31 00:46:00","26.20","26.10","26.30","76","77","77","28.12","28.12","28.12","14.9","20.5","285","0.00",,,"52.90","53.00","53.00","26.20","26.2","19.7",,"6.6",,,,,,,,"24.1",,,,,
"2018-01-31 00:47:00","26.10","26.10","26.10","76","77","77","28.11","28.12","28.11","12.6","19.1","286","0.00",,,"52.90","53.00","53.00","26.10","26.1","19.6",,"6.6",,,,,,,,"23.9",,,,,
"2018-01-31 00:48:00","26.10","26.10","26.10","77","77","77","28.11","28.11","28.11","15.1","18.6","289","0.00",,,"53.00","53.00","53.00","26.10","26.1","19.9",,"6.6",,,,,,,,"24.0",,,,,
"2018-01-31 00:49:00","26.00","26.00","26.10","76","77","77","28.11","28.11","28.11","12.3","16.8","287","0.00",,,"52.90","53.00","53.00","26.00","26.0","19.5",,"6.6",,,,,,,,"23.9",,,,,
"2018-01-31 00:50:00","26.00","26.00","26.00","76","77","77","28.11","28.11","28.11","10.7","15.1","288","0.00",,,"52.90","53.00","53.00","26.00","26.0","19.5",,"6.6",,,,,,,,"23.9",,,,,
"2018-01-31 00:51:00","25.90","25.80","26.00","77","77","77","28.11","28.11","28.11","9.4","14.5","274","0.00",,,"53.00","53.00","53.00","25.90","25.9","19.7",,"6.6",,,,,,,,"23.8",,,,,
"2018-01-31 00:52:00","25.80","25.80","25.80","77","77","77","28.12","28.11","28.11","10.6","14.9","285","0.00",,,"53.00","53.00","53.00","25.80","25.8","19.6",,"6.6",,,,,,,,"23.8",,,,,
"2018-01-31 00:53:00","25.80","25.80","25.80","77","77","77","28.11","28.11","28.11","12.9","17.0","286","0.00",,,"53.00","53.00","53.00","25.80","25.8","19.6",,"6.6",,,,,,,,"23.8",,,,,
"2018-01-31 00:54:00","25.80","25.80","25.80","77","77","77","28.12","28.12","28.11","11.4","13.0","292","0.00",,,"53.00","53.00","53.00","25.80","25.8","19.6",,"6.6",,,,,,,,"23.8",,,,,
"2018-01-31 00:55:00","25.70","25.60","25.80","76","77","77","28.12","28.12","28.12","9.0","11.6","296","0.00",,,"52.90","53.00","53.00","25.70","25.7","19.2",,"6.6",,,,,,,,"23.6",,,,,
"2018-01-31 00:56:00","25.60","25.60","25.60","77","77","77","28.12","28.12","28.11","7.8","11.4","301","0.00",,,"53.00","53.00","53.00","25.60","25.6","19.4",,"6.6",,,,,,,,"23.5",,,,,
"2018-01-31 00:57:00","25.60","25.60","25.60","77","77","77","28.12","28.12","28.11","13.6","20.5","302","0.00",,,"53.00","53.00","53.00","25.60","25.6","19.4",,"6.6",,,,,,,,"23.5",,,,,
"2018-01-31 00:58:00","25.60","25.60","25.60","76","77","77","28.11","28.12","28.11","14.8","20.5","313","0.00",,,"52.90","53.00","53.00","25.60","25.6","19.1",,"6.6",,,,,,,,"23.4",,,,,
"2018-01-31 00:59:00","25.50","25.50","25.60","76","77","77","28.11","28.11","28.11","13.3","18.0","298","0.00",,,"52.90","53.00","53.00","25.50","25.5","19.0",,"6.6",,,,,,,,"23.4",,,,,
"2018-01-31 01:00:00","25.40","25.30","25.50","77","77","77","28.12","28.12","28.11","9.9","14.5","303","0.00",,,"53.00","53.00","53.00","25.40","25.4","19.2",,"6.6",,,,,,,,"23.3",,,,,
"2018-01-31 01:01:00","25.30","25.30","25.30","77","77","77","28.12","28.12","28.12","13.7","19.1","289","0.00",,,"53.00","53.00","53.00","25.30","25.3","19.1",,"6.6",,,,,,,,"23.3",,,,,
"2018-01-31 01:02:00","25.20","25.10","25.30","77","77","77","28.12","28.12","28.12","13.3","16.6","291","0.00",,,"53.00","53.00","53.00","25.20","25.2","19.0",,"6.6",,,,,,,,"23.2",,,,,
"2018-01-31 01:03:00","25.10","25.10","25.10","76","77","77","28.12","28.12","28.12","12.7","17.6","294","0.00",,,"52.90","53.00","53.00","25.10","25.1","18.6",,"6.6",,,,,,,,"23.1",,,,,
"2018-01-31 01:04:00","25.10","25.10","25.10","76","77","77","28.13","28.13","28.12","14.9","22.8","283","0.00",,,"52.90","53.00","53.00","25.10","25.1","18.6",,"6.6",,,,,,,,"23.1",,,,,
"2018-01-31 01:05:00","25.00","25.00","25.10","76","77","77","28.12","28.13","28.12","17.5","22.8","287","0.00",,,"52.90","53.00","53.00","25.00","25.0","18.5",,"6.6",,,,,,,,"22.9",,,,,
"2018-01-31 01:06:00","24.90","24.80","25.00","77","77","77","28.12","28.12","28.12","18.0","22.6","288","0.00",,,"53.00","53.00","53.00","24.90","24.9","18.7",,"6.6",,,,,,,,"21.2",,,,,
"2018-01-31 01:07:00","24.80","24.80","24.80","76","76","77","28.13","28.13","28.12","15.3","22.3","288","0.00",,,"53.00","53.00","53.00","24.80","24.8","18.3",,"6.6",,,,,,,,"22.7",,,,,
"2018-01-31 01:08:00","24.70","24.60","24.80","75","76","76","28.12","28.13","28.12","12.0","21.5","290","0.00",,,"52.90","53.00","53.00","24.70","24.7","17.9",,"6.6",,,,,,,,"22.5",,,,,
"2018-01-31 01:09:00","24.60","24.60","24.60","76","76","76","28.13","28.13","28.12","15.1","21.1","292","0.00",,,"53.00","53.00","53.00","24.60","24.6","18.1",,"6.6",,,,,,,,"22.6",,,,,
"2018-01-31 01:10:00","24.60","24.60","24.60","75","76","76","28.13","28.13","28.13","11.4","18.0","290","0.00",,,"52.90","53.00","53.00","24.60","24.6","17.8",,"6.6",,,,,,,,"22.5",,,,,
"2018-01-31 01:11:00","24.50","24.50","24.60","75","76","76","28.13","28.13","28.13","11.4","15.5","285","0.00",,,"52.90","53.00","53.00","24.50","24.5","17.7",,"6.6",,,,,,,,"22.3",,,,,
"2018-01-31 01:12:00","24.40","24.30","24.50","75","76","76","28.13","28.13","28.13","10.6","13.5","280","0.00",,,"52.90","53.00","53.00","24.40","24.4","17.6",,"6.6",,,,,,,,"22.3",,,,,
"2018-01-31 01:13:00","24.30","24.30","24.30","76","76","76","28.13","28.13","28.13","10.7","14.0","285","0.00",,,"53.00","53.00","53.00","24.30","24.3","17.8",,"6.6",,,,,,,,"22.2",,,,,
"2018-01-31 01:14:00","24.30","24.30","24.30","75","76","76","28.13","28.13","28.13","11.5","19.3","288","0.00",,,"52.90","53.00","53.00","24.30","24.3","17.5",,"6.6",,,,,,,,"22.1",,,,,
"2018-01-31 01:15:00","24.20","24.10","24.30","76","76","76","28.13","28.13","28.13","8.5","12.5","283","0.00",,,"53.00","53.00","53.00","24.20","24.2","17.7",,"6.6",,,,,,,,"22.2",,,,,
"2018-01-31 01:16:00","24.10","24.10","24.10","76","76","76","28.14","28.14","28.13","17.4","27.6","278","0.00",,,"53.00","53.00","53.00","24.10","24.1","17.7",,"6.6",,,,,,,,"22.0",,,,,
"2018-01-31 01:17:00","24.10","24.10","24.10","75","76","76","28.14","28.14","28.14","16.3","25.1","290","0.00",,,"52.90","53.00","53.00","24.10","24.1","17.3",,"6.6",,,,,,,,"22.0",,,,,
"2018-01-31 01:18:00","23.90","23.80","24.10","75","76","76","28.13","28.14","28.13","17.7","24.6","285","0.00",,,"52.90","53.00","53.00","23.90","23.9","17.2",,"6.6",,,,,,,,"21.8",,,,,
"2018-01-31 01:19:00","23.80","23.80","23.80","75","75","76","28.14","28.14","28.13","17.6","23.3","289","0.00",,,"53.00","53.00","53.00","23.80","23.8","17.1",,"6.6",,,,,,,,"21.6",,,,,
"2018-01-31 01:20:00","23.70","23.60","23.80","74","75","75","28.13","28.14","28.13","14.8","19.6","287","0.00",,,"52.90","53.00","53.00","23.70","23.7","16.6",,"6.6",,,,,,,,"21.5",,,,,
"2018-01-31 01:21:00","23.60","23.60","23.60","75","75","75","28.13","28.13","28.13","16.7","22.1","289","0.00",,,"53.00","53.00","53.00","23.60","23.6","16.9",,"6.6",,,,,,,,"21.5",,,,,
"2018-01-31 01:22:00","23.50","23.50","23.60","75","75","75","28.13","28.13","28.13","12.7","19.6","285","0.00",,,"53.00","53.00","53.00","23.50","23.5","16.8",,"6.6",,,,,,,,"21.5",,,,,
"2018-01-31 01:23:00","23.40","23.30","23.50","75","75","75","28.13","28.13","28.13","11.6","14.1","287","0.00",,,"53.00","53.00","53.00","23.40","23.4","16.7",,"6.6",,,,,,,,"21.3",,,,,
"2018-01-31 01:24:00","23.30","23.30","23.30","75","75","75","28.13","28.13","28.13","12.8","20.3","298","0.00",,,"53.00","53.00","53.00","23.30","23.3","16.6",,"6.6",,,,,,,,"21.3",,,,,
"2018-01-31 01:25:00","23.20","23.10","23.30","75","75","75","28.13","28.13","28.13","17.3","21.5","287","0.00",,,"53.00","53.00","53.00","23.20","23.2","16.5",,"6.6",,,,,,,,"21.1",,,,,
"2018-01-31 01:26:00","23.10","23.10","23.10","75","75","75","28.13","28.13","28.13","14.0","18.1","294","0.00",,,"53.00","53.00","53.00","23.10","23.1","16.4",,"6.6",,,,,,,,"21.1",,,,,
"2018-01-31 01:27:00","23.00","23.00","23.10","75","75","75","28.14","28.14","28.13","12.9","20.8","278","0.00",,,"53.00","53.00","53.00","23.00","23.0","16.3",,"6.6",,,,,,,,"20.9",,,,,
"2018-01-31 01:28:00","22.90","22.80","23.00","74","75","75","28.14","28.14","28.14","11.4","17.5","290","0.00",,,"52.90","53.00","53.00","22.90","22.9","15.9",,"6.6",,,,,,,,"20.7",,,,,
"2018-01-31 01:29:00","22.80","22.80","22.80","75","75","75","28.14","28.14","28.14","10.9","17.5","295","0.00",,,"53.00","53.00","53.00","22.80","22.8","16.1",,"6.6",,,,,,,,"20.8",,,,,
"2018-01-31 01:30:00","22.70","22.60","22.80","75","75","75","28.13","28.14","28.13","13.4","17.0","288","0.00",,,"53.00","53.00","53.00","22.70","22.7","16.0",,"6.6",,,,,,,,"20.6",,,,,
"2018-01-31 01:31:00","22.60","22.60","22.60","75","75","75","28.13","28.13","28.13","13.5","17.5","288","0.00",,,"53.00","53.00","53.00","22.60","22.6","15.9",,"6.6",,,,,,,,"20.6",,,,,
"2018-01-31 01:32:00","22.40","22.30","22.60","75","75","75","28.13","28.13","28.13","14.6","21.6","289","0.00",,,"53.00","53.00","53.00","22.40","22.4","15.7",,"6.6",,,,,,,,"20.4",,,,,
"2018-01-31 01:33:00","22.30","22.30","22.30","75","75","75","28.14","28.14","28.13","9.9","14.0","287","0.00",,,"53.00","53.00","53.00","22.30","22.3","15.6",,"6.6",,,,,,,,"20.3",,,,,
"2018-01-31 01:34:00","22.30","22.30","22.30","74","75","75","28.14","28.14","28.14","11.3","15.4","284","0.00",,,"52.90","53.00","53.00","22.30","22.3","15.3",,"6.6",,,,,,,,"20.2",,,,,
"2018-01-31 01:35:00","22.20","22.10","22.30","74","75","75","28.14","28.14","28.14","11.2","14.5","290","0.00",,,"52.90","53.00","53.00","22.20","22.2","15.2",,"6.6",,,,,,,,"20.2",,,,,
"2018-01-31 01:36:00","22.10","22.10","22.10","75","75","75","28.13","28.14","28.13","12.6","16.6","298","0.00",,,"53.00","53.00","53.00","22.10","22.1","15.4",,"6.6",,,,,,,,"20.1",,,,,
"2018-01-31 01:37:00","22.00","22.00","22.10","75","75","75","28.13","28.13","28.13","12.9","21.6","285","0.00",,,"53.00","53.00","53.00","22.00","22.0","15.3",,"6.6",,,,,,,,"20.1",,,,,
"2018-01-31 01:38:00","21.90","21.80","22.00","75","75","75","28.13","28.13","28.13","11.5","17.3","283","0.00",,,"53.00","53.00","53.00","21.90","21.9","15.2",,"6.6",,,,,,,,"20.1",,,,,
"2018-01-31 01:39:00","21.80","21.80","21.80","75","75","75","28.13","28.13","28.13","13.0","16.3","290","0.00",,,"53.00","53.00","53.00","21.80","21.8","15.1",,"6.6",,,,,,,,"19.8",,,,,
"2018-01-31 01:40:00","21.70","21.60","21.80","74","75","75","28.13","28.13","28.13","14.8","20.5","293","0.00",,,"52.90","53.00","53.00","21.70","21.7","14.7",,"6.6",,,,,,,,"19.7",,,,,
"2018-01-31 01:41:00","21.60","21.60","21.60","75","75","75","28.12","28.13","28.12","15.5","22.1","289","0.00",,,"53.00","53.00","53.00","21.60","21.6","14.9",,"6.6",,,,,,,,"19.6",,,,,
"2018-01-31 01:42:00","21.50","21.50","21.60","74","74","75","28.13","28.13","28.12","15.8","24.0","293","0.00",,,"52.90","53.00","53.00","21.50","21.5","14.5",,"6.6",,,,,,,,"19.5",,,,,
"2018-01-31 01:43:00","21.40","21.30","21.50","73","74","74","28.13","28.13","28.13","15.5","22.6","289","0.00",,,"52.90","53.00","53.00","21.40","21.4","14.1",,"6.6",,,,,,,,"19.3",,,,,
"2018-01-31 01:44:00","21.30","21.30","21.30","74","74","74","28.14","28.14","28.13","19.1","29.3","291","0.00",,,"53.00","53.00","53.00","21.30","21.3","14.3",,"6.6",,,,,,,,"19.3",,,,,
"2018-01-31 01:45:00","21.30","21.30","21.30","74","74","74","28.14","28.14","28.14","20.0","29.8","287","0.00",,,"53.00","53.00","53.00","21.30","21.3","14.3",,"6.6",,,,,,,,"19.3",,,,,
"2018-01-31 01:46:00","21.20","21.10","21.30","74","74","74","28.14","28.14","28.14","12.2","18.1","283","0.00",,,"53.00","53.00","53.00","21.20","21.2","14.2",,"6.6",,,,,,,,"19.2",,,,,
"2018-01-31 01:47:00","21.10","21.10","21.10","74","74","74","28.14","28.14","28.14","10.6","15.5","275","0.00",,,"53.00","53.00","53.00","21.10","21.1","14.1",,"6.6",,,,,,,,"19.0",,,,,
"2018-01-31 01:48:00","21.00","21.00","21.10","73","73","74","28.15","28.15","28.14","15.1","20.1","297","0.00",,,"52.00","52.00","53.00","21.00","21.0","13.7",,"6.6",,,,,,,,"18.9",,,,,
"2018-01-31 01:49:00","21.00","21.00","21.00","72","73","73","28.14","28.15","28.14","15.9","23.8","275","0.00",,,"51.90","52.00","52.00","21.00","21.0","13.4",,"6.6",,,,,,,,"19.0",,,,,
"2018-01-31 01:50:00","20.90","20.80","21.00","72","73","73","28.15","28.15","28.14","14.2","24.6","287","0.00",,,"51.90","52.00","52.00","20.90","20.9","13.3",,"6.6",,,,,,,,"18.7",,,,,
"2018-01-31 01:51:00","20.80","20.80","20.80","73","73","73","28.15","28.15","28.15","13.3","18.6","285","0.00",,,"52.00","52.00","52.00","20.80","20.8","13.5",,"6.6",,,,,,,,"18.8",,,,,
"2018-01-31 01:52:00","20.70","20.60","20.80","72","72","73","28.15","28.15","28.15","16.3","23.1","288","0.00",,,"51.90","52.00","52.00","20.70","20.7","13.1",,"6.5",,,,,,,,"18.5",,,,,
"2018-01-31 01:53:00","20.60","20.60","20.60","72","72","72","28.15","28.15","28.15","18.3","24.6","286","0.00",,,"52.00","52.00","52.00","20.60","20.6","13.0",,"6.6",,,,,,,,"18.5",,,,,
"2018-01-31 01:54:00","20.50","20.50","20.60","71","72","72","28.15","28.15","28.15","19.0","26.3","281","0.00",,,"51.90","52.00","52.00","20.50","20.5","12.6",,"6.6",,,,,,,,"18.3",,,,,
"2018-01-31 01:55:00","20.40","20.30","20.50","72","72","72","28.14","28.15","28.14","17.9","29.1","291","0.00",,,"52.00","52.00","52.00","20.40","20.4","12.8",,"6.5",,,,,,,,"18.4",,,,,
"2018-01-31 01:56:00","20.20","20.10","20.30","71","72","72","28.15","28.15","28.14","15.9","25.8","286","0.00",,,"51.90","52.00","52.00","20.20","20.2","12.3",,"6.6",,,,,,,,"17.9",,,,,
"2018-01-31 01:57:00","20.10","20.10","20.10","71","71","72","28.15","28.15","28.15","19.5","30.8","289","0.00",,,"52.90","52.00","53.00","20.10","20.1","12.2",,"6.6",,,,,,,,"17.9",,,,,
"2018-01-31 01:58:00","20.00","20.00","20.10","71","71","71","28.15","28.15","28.15","15.9","22.3","284","0.00",,,"53.00","53.00","53.00","20.00","20.0","12.1",,"6.5",,,,,,,,"18.0",,,,,
"2018-01-31 01:59:00","19.90","19.80","20.00","70","71","71","28.15","28.15","28.15","12.2","22.3","289","0.00",,,"52.90","53.00","53.00","19.90","19.9","11.7",,"6.5",,,,,,,,"17.7",,,,,
"2018-01-31 02:00:00","19.80","19.80","19.80","71","71","71","28.15","28.15","28.15","10.3","16.1","273","0.00",,,"53.00","53.00","53.00","19.80","19.8","11.9",,"6.6",,,,,,,,"17.6",,,,,
"2018-01-31 02:01:00","19.70","19.60","19.80","71","71","71","28.15","28.15","28.15","10.7","14.6","282","0.00",,,"53.00","53.00","53.00","19.70","19.7","11.8",,"6.5",,,,,,,,"17.6",,,,,
"2018-01-31 02:02:00","19.60","19.60","19.60","70","71","71","28.15","28.15","28.15","9.5","14.9","287","0.00",,,"52.90","53.00","53.00","19.60","19.6","11.4",,"6.5",,,,,,,,"17.4",,,,,
"2018-01-31 02:03:00","19.50","19.50","19.60","70","71","71","28.15","28.15","28.15","12.5","19.1","291","0.00",,,"52.90","53.00","53.00","19.50","19.5","11.3",,"6.5",,,,,,,,"17.4",,,,,
"2018-01-31 02:04:00","19.50","19.50","19.50","70","71","71","28.14","28.15","28.14","11.3","16.3","270","0.00",,,"52.90","53.00","53.00","19.50","19.5","11.3",,"6.5",,,,,,,,"17.4",,,,,
"2018-01-31 02:05:00","19.40","19.30","19.50","71","71","71","28.15","28.15","28.14","10.7","16.3","285","0.00",,,"53.00","53.00","53.00","19.40","19.4","11.6",,"6.5",,,,,,,,"17.3",,,,,
"2018-01-31 02:06:00","19.30","19.30","19.30","71","71","71","28.16","28.16","28.15","11.8","19.6","288","0.00",,,"52.00","52.00","53.00","19.30","19.3","11.5",,"6.5",,,,,,,,"17.1",,,,,
