"Time","Temp Avg","Temp Low","Temp High","Hum Avg","Hum Low","Hum High","Baro Avg","Baro Low","Baro High","Windspeed","Gust","Wind Direction","Interval Precip","Leaf Wetness (Minutes)","Solar Radiation Avg","Inside Temp Avg","Inside Temp Low","Inside Temp High","Heat Index","Wind Chill","Dew Point","UV Index","Station Voltage","Station Voltage 2","t1ia","t1il","t1ih","t2ia","t2il","t2ih","wetbulb","s2ia","smia","lvl1","lvl2","lvl3"
"2018-02-11 00:00:00","2.20","2.20","2.20","76","77","77","28.43","28.43","28.43","1.4","3.7","205","0.00",,,"48.90","49.00","49.00","2.20","0.9","-3.6",,"6.7",,,,,,,,"1.2",,,,,
"2018-02-11 00:01:00","2.20","2.20","2.20","77","77","77","28.43","28.43","28.43","4.1","5.5","201","0.00",,,"49.00","49.00","49.00","2.20","0.2","-3.3",,"6.7",,,,,,,,"1.2",,,,,
"2018-02-11 00:02:00","2.20","2.20","2.20","76","77","77","28.43","28.43","28.43","2.7","4.2","206","0.00",,,"48.90","49.00","49.00","2.20","0.5","-3.6",,"6.7",,,,,,,,"1.2",,,,,
"2018-02-11 00:03:00","2.10","2.10","2.20","77","77","77","28.43","28.43","28.43","1.9","2.6","183","0.00",,,"49.00","49.00","49.00","2.10","0.6","-3.4",,"6.7",,,,,,,,"1.2",,,,,
"2018-02-11 00:04:00","2.10","2.10","2.10","77","77","77","28.43","28.43","28.43","2.9","4.0","185","0.00",,,"49.00","49.00","49.00","2.10","0.3","-3.4",,"6.7",,,,,,,,"1.2",,,,,
"2018-02-11 00:05:00","2.00","2.00","2.10","77","77","77","28.43","28.43","28.43","2.3","3.2","194","0.00",,,"49.00","49.00","49.00","2.00","0.3","-3.5",,"6.7",,,,,,,,"1.0",,,,,
"2018-02-11 00:06:00","2.00","2.00","2.00","76","77","77","28.42","28.43","28.42","2.7","4.9","194","0.00",,,"48.90","49.00","49.00","2.00","0.2","-3.8",,"6.7",,,,,,,,"1.0",,,,,
"2018-02-11 00:07:00","1.90","1.80","2.00","77","77","77","28.42","28.43","28.42","1.7","3.0","201","0.00",,,"48.00","48.00","49.00","1.90","0.4","-3.6",,"6.7",,,,,,,,"1.0",,,,,
"2018-02-11 00:08:00","1.80","1.80","1.80","77","77","77","28.42","28.43","28.42","3.0","6.5","200","0.00",,,"48.00","48.00","48.00","1.80","-0.1","-3.7",,"6.7",,,,,,,,"0.8",,,,,
"2018-02-11 00:09:00","1.80","1.80","1.80","77","77","77","28.42","28.42","28.42","3.0","5.4","187","0.00",,,"48.00","48.00","48.00","1.80","-0.1","-3.7",,"6.7",,,,,,,,"0.8",,,,,
"2018-02-11 00:10:00","1.70","1.80","1.80","76","77","77","28.42","28.42","28.42","1.5","3.5","195","0.00",,,"47.90","48.00","48.00","1.70","0.2","-4.1",,"6.7",,,,,,,,"0.8",,,,,
"2018-02-11 00:11:00","1.70","1.60","1.80","77","77","77","28.42","28.42","28.42","2.1","4.2","215","0.00",,,"48.00","48.00","48.00","1.70","0.0","-3.8",,"6.7",,,,,,,,"0.8",,,,,
"2018-02-11 00:12:00","1.60","1.60","1.60","77","77","77","28.42","28.43","28.42","2.1","4.4","205","0.00",,,"48.00","48.00","48.00","1.60","-0.1","-3.9",,"6.7",,,,,,,,"0.9",,,,,
"2018-02-11 00:13:00","1.60","1.60","1.60","77","77","77","28.42","28.43","28.42","3.0","5.0","213","0.00",,,"48.00","48.00","48.00","1.60","-0.4","-3.9",,"6.7",,,,,,,,"0.9",,,,,
"2018-02-11 00:14:00","1.50","1.50","1.60","77","77","77","28.42","28.42","28.42","3.9","7.7","198","0.00",,,"48.00","48.00","48.00","1.50","-0.8","-4.0",,"6.7",,,,,,,,"0.9",,,,,
"2018-02-11 00:15:00","1.40","1.30","1.50","76","77","77","28.42","28.42","28.42","1.6","3.5","220","0.00",,,"47.90","48.00","48.00","1.40","-0.2","-4.4",,"6.7",,,,,,,,"0.5",,,,,
"2018-02-11 00:16:00","1.30","1.30","1.30","77","77","77","28.42","28.42","28.42","1.5","5.4","196","0.00",,,"48.00","48.00","48.00","1.30","-0.3","-4.2",,"6.7",,,,,,,,"0.3",,,,,
"2018-02-11 00:17:00","1.30","1.30","1.30","76","77","77","28.42","28.42","28.42","2.4","4.7","214","0.00",,,"47.90","48.00","48.00","1.30","-0.6","-4.5",,"6.7",,,,,,,,"0.3",,,,,
"2018-02-11 00:18:00","1.30","1.30","1.30","77","77","77","28.42","28.42","28.42","2.1","3.2","203","0.00",,,"48.00","48.00","48.00","1.30","-0.5","-4.2",,"6.7",,,,,,,,"0.3",,,,,
"2018-02-11 00:19:00","1.30","1.30","1.30","77","77","77","28.42","28.42","28.42","1.8","3.7","170","0.00",,,"48.00","48.00","48.00","1.30","-0.4","-4.2",,"6.7",,,,,,,,"0.3",,,,,
"2018-02-11 00:20:00","1.30","1.30","1.30","77","77","77","28.42","28.42","28.42","3.6","5.5","183","0.00",,,"48.00","48.00","48.00","1.30","-1.0","-4.2",,"6.7",,,,,,,,"0.3",,,,,
"2018-02-11 00:21:00","1.30","1.30","1.30","77","77","77","28.42","28.42","28.42","2.8","3.7","180","0.00",,,"48.00","48.00","48.00","1.30","-0.8","-4.2",,"6.7",,,,,,,,"0.3",,,,,
"2018-02-11 00:22:00","1.20","1.10","1.30","77","77","77","28.42","28.42","28.42","3.2","4.4","177","0.00",,,"48.00","48.00","48.00","1.20","-1.0","-4.3",,"6.7",,,,,,,,"0.3",,,,,
"2018-02-11 00:23:00","1.10","1.10","1.10","77","77","77","28.41","28.42","28.41","3.0","4.4","166","0.00",,,"48.00","48.00","48.00","1.10","-1.1","-4.4",,"6.7",,,,,,,,"0.2",,,,,
"2018-02-11 00:24:00","1.10","1.10","1.10","76","77","77","28.42","28.42","28.41","3.9","7.2","171","0.00",,,"47.90","48.00","48.00","1.10","-1.3","-4.7",,"6.7",,,,,,,,"0.1",,,,,
"2018-02-11 00:25:00","1.10","1.10","1.10","76","77","77","28.41","28.42","28.41","3.6","4.9","166","0.00",,,"47.90","48.00","48.00","1.10","-1.2","-4.7",,"6.7",,,,,,,,"0.1",,,,,
"2018-02-11 00:26:00","1.10","1.10","1.10","76","77","77","28.41","28.41","28.41","1.7","3.2","179","0.00",,,"47.90","48.00","48.00","1.10","-0.6","-4.7",,"6.7",,,,,,,,"0.1",,,,,
"2018-02-11 00:27:00","1.10","1.10","1.10","77","77","78","28.41","28.42","28.41","0.7","2.1","165","0.00",,,"47.90","48.00","48.00","1.10","0.0","-4.4",,"6.7",,,,,,,,"0.2",,,,,
"2018-02-11 00:28:00","1.00","1.00","1.10","77","78","78","28.42","28.42","28.42","2.4","4.7","201","0.00",,,"47.90","48.00","48.00","1.00","-1.0","-4.5",,"6.7",,,,,,,,"0.2",,,,,
"2018-02-11 00:29:00","1.00","1.00","1.00","77","78","78","28.41","28.42","28.41","2.9","4.9","202","0.00",,,"47.90","48.00","48.00","1.00","-1.2","-4.5",,"6.7",,,,,,,,"0.2",,,,,
"2018-02-11 00:30:00","0.90","0.90","1.00","78","78","78","28.41","28.41","28.41","3.0","4.4","213","0.00",,,"48.00","48.00","48.00","0.90","-1.4","-4.3",,"6.7",,,,,,,,"0.0",,,,,
"2018-02-11 00:31:00","0.80","0.80","0.90","78","78","78","28.41","28.41","28.41","3.0","5.0","204","0.00",,,"48.00","48.00","48.00","0.80","-1.5","-4.4",,"6.7",,,,,,,,"0.0",,,,,
"2018-02-11 00:32:00","0.80","0.80","0.80","78","78","78","28.41","28.41","28.41","0.8","1.8","198","0.00",,,"48.00","48.00","48.00","0.80","-0.4","-4.4",,"6.7",,,,,,,,"0.0",,,,,
"2018-02-11 00:33:00","0.80","0.80","0.80","78","78","78","28.41","28.41","28.41","1.3","2.2","209","0.00",,,"48.00","48.00","48.00","0.80","-0.8","-4.4",,"6.7",,,,,,,,"0.0",,,,,
"2018-02-11 00:34:00","0.70","0.60","0.80","78","78","78","28.41","28.41","28.41","2.2","5.0","201","0.00",,,"48.90","48.00","49.00","0.70","-1.4","-4.5",,"6.7",,,,,,,,"-0.1",,,,,
"2018-02-11 00:35:00","0.60","0.60","0.60","78","78","78","28.41","28.41","28.41","3.6","6.2","160","0.00",,,"49.00","49.00","49.00","0.60","-1.9","-4.6",,"6.7",,,,,,,,"-0.1",,,,,
"2018-02-11 00:36:00","0.60","0.50","0.60","77","78","78","28.41","28.41","28.41","3.6","4.9","177","0.00",,,"48.90","49.00","49.00","0.60","-1.9","-4.9",,"6.7",,,,,,,,"-0.2",,,,,
"2018-02-11 00:37:00","0.50","0.50","0.50","77","78","78","28.41","28.41","28.41","3.0","4.9","167","0.00",,,"48.90","49.00","49.00","0.50","-1.9","-5.0",,"6.7",,,,,,,,"-0.4",,,,,
"2018-02-11 00:38:00","0.50","0.50","0.50","78","78","78","28.41","28.41","28.41","3.4","5.7","168","0.00",,,"49.00","49.00","49.00","0.50","-2.0","-4.7",,"6.7",,,,,,,,"-0.3",,,,,
"2018-02-11 00:39:00","0.50","0.50","0.50","78","78","78","28.41","28.41","28.41","2.7","3.7","163","0.00",,,"49.00","49.00","49.00","0.50","-1.8","-4.7",,"6.7",,,,,,,,"-0.3",,,,,
"2018-02-11 00:40:00","0.50","0.50","0.50","77","78","78","28.41","28.42","28.41","2.7","4.0","175","0.00",,,"48.90","49.00","49.00","0.50","-1.8","-5.0",,"6.7",,,,,,,,"-0.4",,,,,
"2018-02-11 00:41:00","0.50","0.50","0.50","78","78","78","28.41","28.42","28.41","1.4","2.2","202","0.00",,,"49.00","49.00","49.00","0.50","-1.2","-4.7",,"6.7",,,,,,,,"-0.3",,,,,
"2018-02-11 00:42:00","0.50","0.50","0.50","78","78","78","28.41","28.41","28.41","0.2","1.3","202","0.00",,,"49.00","49.00","49.00","0.50","0.5","-4.7",,"6.7",,,,,,,,"-0.3",,,,,
"2018-02-11 00:43:00","0.40","0.40","0.50","77","78","78","28.41","28.41","28.41","1.5","3.0","193","0.00",,,"48.90","49.00","49.00","0.40","-1.4","-5.1",,"6.7",,,,,,,,"-0.5",,,,,
"2018-02-11 00:44:00","0.40","0.40","0.40","77","78","78","28.42","28.42","28.41","2.3","4.9","185","0.00",,,"48.90","49.00","49.00","0.40","-1.8","-5.1",,"6.7",,,,,,,,"-0.5",,,,,
"2018-02-11 00:45:00","0.30","0.20","0.40","78","78","78","28.42","28.42","28.42","0.8","2.7","202","0.00",,,"49.00","49.00","49.00","0.30","-1.0","-4.9",,"6.7",,,,,,,,"-0.5",,,,,
"2018-02-11 00:46:00","0.20","0.20","0.20","78","78","78","28.42","28.42","28.42","1.8","2.7","202","0.00",,,"49.00","49.00","49.00","0.20","-1.8","-5.0",,"6.7",,,,,,,,"-0.7",,,,,
"2018-02-11 00:47:00","0.20","0.20","0.20","78","78","78","28.42","28.42","28.42","0.8","1.6","202","0.00",,,"49.00","49.00","49.00","0.20","-1.2","-5.0",,"6.7",,,,,,,,"-0.7",,,,,
"2018-02-11 00:48:00","0.20","0.20","0.20","78","78","78","28.41","28.42","28.41","1.7","3.0","202","0.00",,,"49.00","49.00","49.00","0.20","-1.8","-5.0",,"6.7",,,,,,,,"-0.7",,,,,
"2018-02-11 00:49:00","0.20","0.20","0.20","78","78","78","28.42","28.42","28.41","0.0","1.1","202","0.00",,,"49.00","49.00","49.00","0.20","0.2","-5.0",,"6.7",,,,,,,,"-0.7",,,,,
"2018-02-11 00:50:00","0.10","0.10","0.20","78","78","79","28.41","28.42","28.41","1.6","3.5","202","0.00",,,"48.90","49.00","49.00","0.10","-1.9","-5.1",,"6.7",,,,,,,,"-0.7",,,,,
"2018-02-11 00:51:00","0.00","0.00","0.10","79","79","79","28.41","28.41","28.41","2.0","3.7","197","0.00",,,"49.00","49.00","49.00","0.00","-2.2","-4.9",,"6.7",,,,,,,,"-0.8",,,,,
"2018-02-11 00:52:00","0.00","0.00","0.00","78","79","79","28.41","28.41","28.41","1.5","2.6","180","0.00",,,"48.90","49.00","49.00","0.00","-1.9","-5.2",,"6.7",,,,,,,,"-0.8",,,,,
"2018-02-11 00:53:00","0.00","0.00","0.00","78","79","79","28.41","28.41","28.41","0.4","2.2","180","0.00",,,"48.90","49.00","49.00","0.00","0.0","-5.2",,"6.7",,,,,,,,"-0.8",,,,,
"2018-02-11 00:54:00","0.00","0.00","0.00","78","79","79","28.41","28.41","28.41","1.7","2.6","180","0.00",,,"48.90","49.00","49.00","0.00","-2.0","-5.2",,"6.7",,,,,,,,"-0.8",,,,,
"2018-02-11 00:55:00","0.00","0.00","0.00","79","79","79","28.41","28.41","28.41","0.9","2.7","180","0.00",,,"49.00","49.00","49.00","0.00","-1.5","-4.9",,"6.7",,,,,,,,"-0.8",,,,,
"2018-02-11 00:56:00","0.00","-0.10","0.00","79","79","79","28.41","28.41","28.41","1.4","3.2","180","0.00",,,"49.00","49.00","49.00","0.00","-1.9","-4.9",,"6.7",,,,,,,,"-0.8",,,,,
"2018-02-11 00:57:00","-0.10","-0.10","-0.10","79","79","79","28.41","28.41","28.41","2.1","3.2","180","0.00",,,"49.00","49.00","49.00","-0.10","-2.4","-5.0",,"6.7",,,,,,,,"-0.8",,,,,
"2018-02-11 00:58:00","-0.10","-0.20","-0.10","79","79","79","28.41","28.41","28.41","2.8","4.4","181","0.00",,,"49.00","49.00","49.00","-0.10","-2.6","-5.0",,"6.7",,,,,,,,"-0.8",,,,,
"2018-02-11 00:59:00","-0.20","-0.20","-0.20","78","79","79","28.41","28.41","28.41","3.2","4.0","180","0.00",,,"48.90","49.00","49.00","-0.20","-2.9","-5.4",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:00:00","-0.20","-0.20","-0.20","79","79","79","28.41","28.41","28.41","2.7","4.0","180","0.00",,,"49.00","49.00","49.00","-0.20","-2.8","-5.1",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:01:00","-0.20","-0.20","-0.20","79","79","79","28.41","28.41","28.41","2.4","3.7","180","0.00",,,"49.00","49.00","49.00","-0.20","-2.6","-5.1",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:02:00","-0.20","-0.20","-0.20","79","79","79","28.40","28.41","28.40","2.7","4.2","165","0.00",,,"49.00","49.00","49.00","-0.20","-2.8","-5.1",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:03:00","-0.20","-0.20","-0.20","79","79","79","28.41","28.41","28.40","2.2","2.7","157","0.00",,,"49.00","49.00","49.00","-0.20","-2.6","-5.1",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:04:00","-0.20","-0.20","-0.20","79","79","79","28.41","28.41","28.41","2.7","3.2","166","0.00",,,"49.00","49.00","49.00","-0.20","-2.8","-5.1",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:05:00","-0.20","-0.20","-0.20","79","79","79","28.40","28.41","28.40","2.5","3.2","180","0.00",,,"49.00","49.00","49.00","-0.20","-2.7","-5.1",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:06:00","-0.20","-0.20","-0.20","78","79","79","28.41","28.41","28.40","2.1","3.7","163","0.00",,,"48.90","49.00","49.00","-0.20","-2.5","-5.4",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:07:00","-0.20","-0.20","-0.20","79","79","80","28.41","28.41","28.41","2.6","3.7","180","0.00",,,"48.90","49.00","49.00","-0.20","-2.7","-5.1",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:08:00","-0.20","-0.20","-0.20","79","80","80","28.40","28.41","28.40","2.8","3.5","180","0.00",,,"48.90","49.00","49.00","-0.20","-2.8","-5.1",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:09:00","-0.20","-0.20","-0.20","80","80","80","28.40","28.40","28.40","2.8","4.0","175","0.00",,,"49.00","49.00","49.00","-0.20","-2.8","-4.9",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:10:00","-0.20","-0.20","-0.20","80","80","80","28.40","28.40","28.40","3.2","4.4","177","0.00",,,"49.00","49.00","49.00","-0.20","-2.9","-4.9",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:11:00","-0.20","-0.20","-0.20","80","80","80","28.41","28.41","28.40","2.5","3.2","177","0.00",,,"49.00","49.00","49.00","-0.20","-2.7","-4.9",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:12:00","-0.20","-0.20","-0.20","79","80","80","28.40","28.41","28.40","2.9","3.7","157","0.00",,,"48.90","49.00","49.00","-0.20","-2.8","-5.1",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:13:00","-0.30","-0.40","-0.20","80","80","80","28.40","28.40","28.40","3.4","4.4","173","0.00",,,"49.00","49.00","49.00","-0.30","-3.1","-5.0",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:14:00","-0.30","-0.40","-0.20","80","80","80","28.40","28.40","28.40","3.6","4.7","165","0.00",,,"49.00","49.00","49.00","-0.30","-3.2","-5.0",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:15:00","-0.20","-0.20","-0.20","80","80","80","28.40","28.40","28.40","3.7","5.5","164","0.00",,,"49.00","49.00","49.00","-0.20","-3.1","-4.9",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:16:00","-0.20","-0.20","-0.20","80","80","80","28.40","28.40","28.40","4.0","5.5","160","0.00",,,"49.00","49.00","49.00","-0.20","-3.2","-4.9",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:17:00","-0.20","-0.20","-0.20","80","80","80","28.40","28.40","28.40","4.0","5.4","168","0.00",,,"49.00","49.00","49.00","-0.20","-3.2","-4.9",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:18:00","-0.20","-0.20","-0.20","80","80","80","28.40","28.40","28.40","3.3","4.9","180","0.00",,,"49.00","49.00","49.00","-0.20","-3.0","-4.9",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:19:00","-0.20","-0.20","-0.20","80","80","80","28.40","28.40","28.40","3.7","5.5","172","0.00",,,"49.00","49.00","49.00","-0.20","-3.1","-4.9",,"6.6",,,,,,,,"-1.0",,,,,
"2018-02-11 01:20:00","-0.20","-0.20","-0.20","79","80","80","28.39","28.40","28.40","3.3","4.9","172","0.00",,,"48.90","49.00","49.00","-0.20","-3.0","-5.1",,"6.6",,,,,,,,"-1.0",,,,,
"2018-02-11 01:21:00","-0.20","-0.20","-0.20","80","80","80","28.40","28.40","28.40","2.7","4.9","178","0.00",,,"49.00","49.00","49.00","-0.20","-2.8","-4.9",,"6.6",,,,,,,,"-1.0",,,,,
"2018-02-11 01:22:00","-0.20","-0.20","-0.20","80","80","80","28.40","28.40","28.40","2.3","3.2","180","0.00",,,"49.00","49.00","49.00","-0.20","-2.6","-4.9",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:23:00","-0.20","-0.20","-0.20","80","80","80","28.39","28.40","28.40","2.0","2.7","180","0.00",,,"49.00","49.00","49.00","-0.20","-2.5","-4.9",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:24:00","-0.20","-0.20","-0.20","80","80","80","28.40","28.40","28.40","2.0","2.7","180","0.00",,,"49.00","49.00","49.00","-0.20","-2.5","-4.9",,"6.6",,,,,,,,"-1.0",,,,,
"2018-02-11 01:25:00","-0.30","-0.40","-0.20","80","80","80","28.39","28.40","28.39","2.9","4.0","175","0.00",,,"49.00","49.00","49.00","-0.30","-3.0","-5.0",,"6.7",,,,,,,,"-1.0",,,,,
"2018-02-11 01:26:00","-0.40","-0.40","-0.40","80","80","80","28.39","28.39","28.39","3.3","4.0","157","0.00",,,"49.00","49.00","49.00","-0.40","-3.2","-5.1",,"6.7",,,,,,,,"-1.1",,,,,
"2018-02-11 01:27:00","-0.40","-0.50","-0.40","79","80","80","28.39","28.39","28.39","4.2","5.5","157","0.00",,,"48.90","49.00","49.00","-0.40","-3.5","-5.3",,"6.7",,,,,,,,"-1.2",,,,,
"2018-02-11 01:28:00","-0.50","-0.50","-0.50","80","80","80","28.39","28.39","28.39","4.8","6.5","159","0.00",,,"49.00","49.00","49.00","-0.50","-3.8","-5.2",,"6.6",,,,,,,,"-1.1",,,,,
"2018-02-11 01:29:00","-0.50","-0.50","-0.50","79","80","80","28.39","28.39","28.39","4.7","6.0","163","0.00",,,"48.90","49.00","49.00","-0.50","-3.8","-5.4",,"6.7",,,,,,,,"-1.3",,,,,
"2018-02-11 01:30:00","-0.50","-0.50","-0.50","80","80","80","28.39","28.40","28.39","4.2","5.5","161","0.00",,,"49.90","49.00","50.00","-0.50","-3.6","-5.2",,"6.6",,,,,,,,"-1.1",,,,,
"2018-02-11 01:31:00","-0.50","-0.50","-0.50","79","80","80","28.39","28.40","28.40","3.5","5.0","166","0.00",,,"49.90","50.00","50.00","-0.50","-3.4","-5.4",,"6.7",,,,,,,,"-1.3",,,,,
"2018-02-11 01:32:00","-0.50","-0.50","-0.50","80","80","80","28.39","28.40","28.40","3.7","4.7","164","0.00",,,"50.00","50.00","50.00","-0.50","-3.5","-5.2",,"6.6",,,,,,,,"-1.1",,,,,
"2018-02-11 01:33:00","-0.50","-0.50","-0.50","80","80","80","28.39","28.40","28.39","4.7","6.0","158","0.00",,,"50.00","50.00","50.00","-0.50","-3.8","-5.2",,"6.6",,,,,,,,"-1.1",,,,,
"2018-02-11 01:34:00","-0.50","-0.50","-0.50","79","80","80","28.39","28.40","28.39","4.0","6.0","169","0.00",,,"49.00","49.00","50.00","-0.50","-3.6","-5.4",,"6.6",,,,,,,,"-1.3",,,,,
"2018-02-11 01:35:00","-0.50","-0.50","-0.50","79","80","80","28.39","28.40","28.40","3.7","4.9","157","0.00",,,"48.90","49.00","49.00","-0.50","-3.5","-5.4",,"6.6",,,,,,,,"-1.3",,,,,
"2018-02-11 01:36:00","-0.50","-0.50","-0.50","79","80","80","28.39","28.40","28.39","4.3","5.4","161","0.00",,,"48.90","49.00","49.00","-0.50","-3.6","-5.4",,"6.6",,,,,,,,"-1.3",,,,,
"2018-02-11 01:37:00","-0.60","-0.60","-0.50","79","80","80","28.39","28.39","28.39","3.4","4.2","175","0.00",,,"48.90","49.00","49.00","-0.60","-3.5","-5.5",,"6.6",,,,,,,,"-1.3",,,,,
"2018-02-11 01:38:00","-0.60","-0.60","-0.60","79","80","80","28.39","28.40","28.39","4.3","5.7","164","0.00",,,"48.90","49.00","49.00","-0.60","-3.8","-5.5",,"6.6",,,,,,,,"-1.3",,,,,
"2018-02-11 01:39:00","-0.70","-0.80","-0.60","80","80","80","28.39","28.40","28.39","3.6","5.5","167","0.00",,,"49.00","49.00","49.00","-0.70","-3.7","-5.4",,"6.6",,,,,,,,"-1.3",,,,,
"2018-02-11 01:40:00","-0.80","-0.80","-0.80","79","80","80","28.40","28.40","28.39","3.1","4.2","157","0.00",,,"48.90","49.00","49.00","-0.80","-3.7","-5.7",,"6.6",,,,,,,,"-1.5",,,,,
"2018-02-11 01:41:00","-0.80","-0.80","-0.80","80","80","80","28.39","28.40","28.39","3.4","4.4","165","0.00",,,"49.00","49.00","49.00","-0.80","-3.8","-5.5",,"6.6",,,,,,,,"-1.3",,,,,
"2018-02-11 01:42:00","-0.80","-0.90","-0.80","80","80","80","28.39","28.39","28.39","3.2","4.0","165","0.00",,,"49.00","49.00","49.00","-0.80","-3.7","-5.5",,"6.6",,,,,,,,"-1.3",,,,,
"2018-02-11 01:43:00","-0.80","-0.90","-0.90","79","80","80","28.39","28.39","28.39","3.1","4.0","169","0.00",,,"48.90","49.00","49.00","-0.80","-3.7","-5.7",,"6.6",,,,,,,,"-1.5",,,,,
"2018-02-11 01:44:00","-0.90","-1.00","-0.90","79","80","80","28.39","28.39","28.39","2.5","3.5","177","0.00",,,"48.90","49.00","49.00","-0.90","-3.6","-5.8",,"6.6",,,,,,,,"-1.7",,,,,
"2018-02-11 01:45:00","-1.00","-1.10","-1.00","80","80","80","28.39","28.39","28.39","2.4","3.0","164","0.00",,,"49.00","49.00","49.00","-1.00","-3.7","-5.7",,"6.6",,,,,,,,"-1.7",,,,,
"2018-02-11 01:46:00","-1.10","-1.10","-1.10","80","80","80","28.39","28.39","28.39","2.5","3.5","180","0.00",,,"49.00","49.00","49.00","-1.10","-3.9","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 01:47:00","-1.10","-1.10","-1.10","80","80","80","28.39","28.39","28.39","2.5","3.2","178","0.00",,,"49.00","49.00","49.00","-1.10","-3.9","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 01:48:00","-1.10","-1.10","-1.10","79","80","80","28.39","28.39","28.39","3.4","4.4","160","0.00",,,"48.00","48.00","49.00","-1.10","-4.2","-6.0",,"6.6",,,,,,,,"-1.9",,,,,
"2018-02-11 01:49:00","-1.10","-1.10","-1.10","79","80","80","28.39","28.39","28.39","3.2","4.2","159","0.00",,,"47.90","48.00","48.00","-1.10","-4.2","-6.0",,"6.6",,,,,,,,"-1.9",,,,,
"2018-02-11 01:50:00","-1.10","-1.10","-1.10","80","80","80","28.39","28.39","28.39","2.6","3.2","147","0.00",,,"48.00","48.00","48.00","-1.10","-3.9","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 01:51:00","-1.10","-1.10","-1.10","80","80","80","28.39","28.39","28.39","2.7","3.2","180","0.00",,,"48.00","48.00","48.00","-1.10","-4.0","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 01:52:00","-1.10","-1.10","-1.10","80","80","80","28.39","28.39","28.39","2.4","3.5","167","0.00",,,"48.00","48.00","48.00","-1.10","-3.8","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 01:53:00","-1.10","-1.10","-1.10","80","80","80","28.38","28.39","28.38","2.8","3.7","167","0.00",,,"48.00","48.00","48.00","-1.10","-4.0","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 01:54:00","-1.10","-1.10","-1.10","80","80","81","28.38","28.38","28.38","3.6","5.4","168","0.00",,,"48.00","48.00","48.00","-1.10","-4.3","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 01:55:00","-1.10","-1.10","-1.10","80","81","81","28.38","28.38","28.38","2.7","3.2","157","0.00",,,"47.90","48.00","48.00","-1.10","-4.0","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 01:56:00","-1.10","-1.10","-1.10","80","81","81","28.39","28.39","28.38","2.7","3.5","157","0.00",,,"47.90","48.00","48.00","-1.10","-4.0","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 01:57:00","-1.10","-1.10","-1.10","80","81","81","28.38","28.39","28.38","2.8","3.5","157","0.00",,,"48.90","48.00","49.00","-1.10","-4.0","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 01:58:00","-1.10","-1.10","-1.10","80","81","81","28.38","28.38","28.38","3.4","4.0","157","0.00",,,"48.90","49.00","49.00","-1.10","-4.2","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 01:59:00","-1.10","-1.10","-1.10","80","81","81","28.38","28.38","28.38","3.7","4.9","157","0.00",,,"48.00","48.00","49.00","-1.10","-4.3","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 02:00:00","-1.10","-1.10","-1.10","80","81","81","28.38","28.38","28.38","4.0","5.4","159","0.00",,,"47.90","48.00","48.00","-1.10","-4.4","-5.8",,"6.6",,,,,,,,"-1.8",,,,,
"2018-02-11 02:01:00","-1.20","-1.30","-1.10","81","81","81","28.38","28.38","28.38","4.0","4.9","157","0.00",,,"48.00","48.00","48.00","-1.20","-4.6","-5.6",,"6.6",,,,,,,,"-1.8",,,,,
